,avg_exo_card,tw,exo_dag,avg_indegree,dag,num_exo_vars,exo_cc,endo_dag,exo_tw,endo_tw,endo_cc,avg_endo_indegree,datasize_obs,max_exo_card,markovianity,ratio,num_vars,num_endo_vars,max_indegree
0,10.0,4.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (3 1)  (8 2)  (9 4)  (10 5)  (3 6)]),1.2727272727272727,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (3 1)  (4 2)  (6 2)  (8 2)  (0 4)  (6 4)  (9 4)  (0 5)  (4 5)  (6 5)  (10 5)  (0 6)  (3 6)]),5,[7][3][8][9][10],([0  1  2  4  5  6]  [(4 2)  (6 2)  (0 4)  (6 4)  (0 5)  (4 5)  (6 5)  (0 6)]),1,3.0,[0][1 6][2][4][5],1.3333333333333333,1000,16,1,0.9852640200171132,11,6,5
0,9.0,2.0,([0  1  2  3  4]  [(3 0)  (1 2)  (3 4)]),1.0,([0  1  2  3  4]  [(2 0)  (3 0)  (1 2)  (2 4)  (3 4)]),2,[3][1],([0  2  4]  [(2 0)  (2 4)]),1,1.0,[0 4][2],0.6666666666666666,1000,16,1,0.9880686530864314,5,3,3
0,6.4,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (8 2)  (9 3)  (1 4)  (1 5)  (10 6)]),1.181818181818182,([0  1  2  3  4  5  6  7  8  9  10]  [(5 0)  (7 0)  (3 2)  (6 2)  (8 2)  (6 3)  (9 3)  (1 4)  (5 4)  (1 5)  (0 6)  (5 6)  (10 6)]),5,[7][1][8][9][10],([0  2  3  4  5  6]  [(5 0)  (3 2)  (6 2)  (6 3)  (5 4)  (0 6)  (5 6)]),1,2.0,[0][4 5][2][3][6],1.1666666666666667,1000,16,1,0.9961407633658456,11,6,5
0,10.8,,([0  1  2  3  4  5  6  7  8  9  10]  [(9 0)  (5 2)  (1 4)  (3 6)  (10 7)  (5 8)]),1.181818181818182,([0  1  2  3  4  5  6  7  8  9  10]  [(4 0)  (8 0)  (9 0)  (4 2)  (5 2)  (1 4)  (0 6)  (2 6)  (3 6)  (2 7)  (10 7)  (4 8)  (5 8)]),5,[9][1][5][3][10],([0  2  4  6  7  8]  [(4 0)  (8 0)  (4 2)  (0 6)  (2 6)  (2 7)  (4 8)]),1,2.0,[0][4][2 8][6][7],1.1666666666666667,2000,16,1,0.9953626527391264,11,6,4
0,4.333333333333333,3.0,([0  1  2  3  4  5  6]  [(5 0)  (1 2)  (1 3)  (6 4)]),1.1428571428571428,([0  1  2  3  4  5  6]  [(2 0)  (5 0)  (1 2)  (0 3)  (1 3)  (2 3)  (0 4)  (6 4)]),3,[5][1][6],([0  2  3  4]  [(2 0)  (0 3)  (2 3)  (0 4)]),1,2.0,[0][2 3][4],1.0,1000,5,1,0.9971129554710366,7,4,4
0,7.0,3.0,([0  1  2  3  4]  [(0 1)  (4 2)  (0 3)]),1.2,([0  1  2  3  4]  [(0 1)  (2 1)  (4 2)  (0 3)  (1 3)  (2 3)]),2,[0][4],([1  2  3]  [(2 1)  (1 3)  (2 3)]),1,2.0,[1 3][2],1.0,1000,12,1,0.9925017861640552,5,3,3
0,9.666666666666666,,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(8 0)  (9 1)  (6 2)  (6 3)  (10 4)  (11 5)  (12 7)]),1.3076923076923077,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(2 0)  (8 0)  (5 1)  (7 1)  (9 1)  (6 2)  (1 3)  (4 3)  (6 3)  (0 4)  (10 4)  (0 5)  (4 5)  (11 5)  (2 7)  (5 7)  (12 7)]),6,[8][9][6][10][11][12],([0  1  2  3  4  5  7]  [(2 0)  (5 1)  (7 1)  (1 3)  (4 3)  (0 4)  (0 5)  (4 5)  (2 7)  (5 7)]),1,,[0][1][2 3][4][5][7],1.4285714285714286,5000,16,1,0.9916044526597316,13,7,5
0,12.0,3.0,([0  1  2  3  4  5  6  7  8]  [(2 0)  (6 1)  (7 3)  (2 4)  (8 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(2 0)  (0 1)  (3 1)  (6 1)  (0 3)  (7 3)  (1 4)  (2 4)  (3 4)  (3 5)  (8 5)]),4,[2][6][7][8],([0  1  3  4  5]  [(0 1)  (3 1)  (0 3)  (1 4)  (3 4)  (3 5)]),1,2.0,[0 4][1][3][5],1.2,1000,24,1,0.9924152321283506,9,5,5
0,6.25,3.0,([0  1  2  3  4  5  6  7  8]  [(4 0)  (6 1)  (4 2)  (7 3)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(4 0)  (0 1)  (5 1)  (6 1)  (4 2)  (2 3)  (7 3)  (0 5)  (2 5)  (8 5)]),4,[4][6][7][8],([0  1  2  3  5]  [(0 1)  (5 1)  (2 3)  (0 5)  (2 5)]),1,2.0,[0 2][1][3][5],1.0,1000,16,1,0.9897476238314012,9,5,4
0,6.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (6 1)  (4 2)  (7 2)  (1 4)  (8 4)  (1 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (4 2)  (1 4)  (1 5)  (4 5)]),1,2.0,[0 5][1][2][4],1.0,2000,12,1,0.9975537387375604,9,5,4
0,6.0,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(6 1)  (8 2)  (0 3)  (9 4)  (6 5)  (10 7)]),1.0909090909090908,([0  1  2  3  4  5  6  7  8  9  10]  [(5 1)  (6 1)  (7 2)  (8 2)  (0 3)  (7 3)  (3 4)  (5 4)  (9 4)  (6 5)  (5 7)  (10 7)]),5,[0][6][8][9][10],([1  2  3  4  5  7]  [(5 1)  (7 2)  (7 3)  (3 4)  (5 4)  (5 7)]),1,2.0,[3][1 5][2][4][7],1.0,1000,16,1,0.9964926560987082,11,6,4
0,9.75,3.0,([0  1  2  3  4  5  6  7  8]  [(1 2)  (7 3)  (0 4)  (8 5)  (1 6)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(1 2)  (6 2)  (4 3)  (6 3)  (7 3)  (0 4)  (2 4)  (2 5)  (4 5)  (8 5)  (1 6)]),4,[0][1][7][8],([2  3  4  5  6]  [(6 2)  (4 3)  (6 3)  (2 4)  (2 5)  (4 5)]),1,2.0,[4][2 6][3][5],1.2,1000,16,1,0.997091921822098,9,5,4
0,10.0,3.0,([0  1  2  3  4  5  6  7  8  9]  [(8 0)  (2 1)  (2 3)  (7 4)  (7 5)  (9 6)]),1.2,([0  1  2  3  4  5  6  7  8  9]  [(1 0)  (4 0)  (8 0)  (2 1)  (2 3)  (4 3)  (1 4)  (7 4)  (1 5)  (7 5)  (3 6)  (9 6)]),4,[8][2][7][9],([0  1  3  4  5  6]  [(1 0)  (4 0)  (4 3)  (1 4)  (1 5)  (3 6)]),1,2.0,[0][1 3][4 5][6],1.0,3000,16,1,0.988931065990489,10,6,4
0,8.666666666666666,,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(5 0)  (8 1)  (9 2)  (10 3)  (5 4)  (11 6)  (12 7)]),1.1538461538461535,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(5 0)  (0 1)  (8 1)  (3 2)  (6 2)  (9 2)  (0 3)  (10 3)  (2 4)  (5 4)  (0 6)  (11 6)  (0 7)  (1 7)  (12 7)]),6,[5][8][9][10][11][12],([0  1  2  3  4  6  7]  [(0 1)  (3 2)  (6 2)  (0 3)  (2 4)  (0 6)  (0 7)  (1 7)]),1,2.0,[0 4][1][2][3][6][7],1.1428571428571428,1000,16,1,0.991229860533979,13,7,5
0,5.333333333333333,2.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (5 3)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (3 2)  (1 3)  (5 3)  (1 4)  (6 4)]),3,[0][5][6],([1  2  3  4]  [(3 2)  (1 3)  (1 4)]),1,1.0,[1 2][3][4],0.75,2500,8,1,0.9979513009214794,7,4,3
0,9.2,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(2 0)  (7 1)  (8 3)  (2 4)  (9 5)  (10 6)]),1.2727272727272727,([0  1  2  3  4  5  6  7  8  9  10]  [(1 0)  (2 0)  (4 0)  (4 1)  (7 1)  (0 3)  (6 3)  (8 3)  (2 4)  (4 5)  (9 5)  (4 6)  (5 6)  (10 6)]),5,[2][7][8][9][10],([0  1  3  4  5  6]  [(1 0)  (4 0)  (4 1)  (0 3)  (6 3)  (4 5)  (4 6)  (5 6)]),1,2.0,[0 4][1][3][5][6],1.3333333333333333,1000,16,1,0.9960224299335554,11,6,5
0,5.333333333333333,2.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (5 3)  (6 4)]),1.0,([0  1  2  3  4  5  6]  [(0 1)  (0 2)  (3 2)  (1 3)  (5 3)  (1 4)  (6 4)]),3,[0][5][6],([1  2  3  4]  [(3 2)  (1 3)  (1 4)]),1,1.0,[1 2][3][4],0.75,2500,8,1,0.9979513009214794,7,4,3
0,5.6,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(4 0)  (7 1)  (4 2)  (8 3)  (9 5)  (10 6)]),1.181818181818182,([0  1  2  3  4  5  6  7  8  9  10]  [(4 0)  (0 1)  (7 1)  (0 2)  (4 2)  (5 2)  (0 3)  (8 3)  (1 5)  (6 5)  (9 5)  (1 6)  (10 6)]),5,[4][7][8][9][10],([0  1  2  3  5  6]  [(0 1)  (0 2)  (5 2)  (0 3)  (1 5)  (6 5)  (1 6)]),1,2.0,[0 2][1][3][5][6],1.1666666666666667,2500,8,1,0.997967005365369,11,6,4
0,8.0,3.0,([0  1  2  3  4  5  6  7  8]  [(4 0)  (6 1)  (7 2)  (8 3)  (4 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(2 0)  (4 0)  (5 0)  (5 1)  (6 1)  (5 2)  (7 2)  (1 3)  (5 3)  (8 3)  (4 5)]),4,[4][6][7][8],([0  1  2  3  5]  [(2 0)  (5 0)  (5 1)  (5 2)  (1 3)  (5 3)]),1,2.0,[0 5][1][2][3],1.2,1000,16,1,0.9988701877380274,9,5,5
0,12.0,3.0,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (8 1)  (6 2)  (6 3)  (9 4)  (10 5)]),1.3636363636363635,([0  1  2  3  4  5  6  7  8  9  10]  [(1 0)  (4 0)  (7 0)  (3 1)  (4 1)  (8 1)  (3 2)  (4 2)  (6 2)  (6 3)  (3 4)  (9 4)  (1 5)  (4 5)  (10 5)]),5,[7][8][6][9][10],([0  1  2  3  4  5]  [(1 0)  (4 0)  (3 1)  (4 1)  (3 2)  (4 2)  (3 4)  (1 5)  (4 5)]),1,2.0,[0][1][2 3][4][5],1.5,1000,16,1,0.9842001127111132,11,6,6
0,12.0,3.0,([0  1  2  3  4  5  6]  [(4 0)  (4 1)  (5 2)  (6 3)]),1.2857142857142858,([0  1  2  3  4  5  6]  [(4 0)  (0 1)  (4 1)  (0 2)  (3 2)  (5 2)  (0 3)  (1 3)  (6 3)]),3,[4][5][6],([0  1  2  3]  [(0 1)  (0 2)  (3 2)  (0 3)  (1 3)]),1,2.0,[0 1][2][3],1.25,2000,16,1,0.9975632410646316,7,4,4
0,6.0,3.0,([0  1  2  3  4  5  6  7  8]  [(3 0)  (6 1)  (7 2)  (8 4)  (3 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(3 0)  (0 1)  (6 1)  (4 2)  (7 2)  (1 4)  (8 4)  (1 5)  (3 5)  (4 5)]),4,[3][6][7][8],([0  1  2  4  5]  [(0 1)  (4 2)  (1 4)  (1 5)  (4 5)]),1,2.0,[0 5][1][2][4],1.0,2000,12,1,0.9975537387375604,9,5,4
0,8.5,3.0,([0  1  2  3  4  5  6  7  8  9]  [(7 1)  (9 3)  (0 4)  (2 5)  (2 6)  (0 8)]),1.1,([0  1  2  3  4  5  6  7  8  9]  [(5 1)  (7 1)  (4 3)  (8 3)  (9 3)  (0 4)  (2 5)  (6 5)  (2 6)  (4 6)  (0 8)]),4,[0][7][2][9],([1  3  4  5  6  8]  [(5 1)  (4 3)  (8 3)  (6 5)  (4 6)]),1,2.0,[4 8][1][5 6][3],0.8333333333333334,1000,16,1,0.9884864757055024,10,6,3
0,7.2,,([0  1  2  3  4  5  6  7  8  9  10]  [(7 0)  (4 1)  (8 2)  (4 3)  (9 5)  (10 6)]),1.3636363636363635,([0  1  2  3  4  5  6  7  8  9  10]  [(1 0)  (7 0)  (4 1)  (3 2)  (5 2)  (8 2)  (0 3)  (1 3)  (4 3)  (1 5)  (9 5)  (0 6)  (2 6)  (3 6)  (10 6)]),5,[7][4][8][9][10],([0  1  2  3  5  6]  [(1 0)  (3 2)  (5 2)  (0 3)  (1 3)  (1 5)  (0 6)  (2 6)  (3 6)]),1,,[0][1 3][2][5][6],1.5,1000,16,1,0.9517189421178176,11,6,5
0,6.0,3.0,([0  1  2  3  4  5]  [(1 0)  (2 3)  (1 4)  (2 5)]),1.3333333333333333,([0  1  2  3  4  5]  [(1 0)  (4 0)  (2 3)  (4 3)  (5 3)  (1 4)  (2 5)  (4 5)]),2,[1][2],([0  3  4  5]  [(4 0)  (4 3)  (5 3)  (4 5)]),1,2.0,[0 4][3 5],1.0,1000,8,1,0.9962181365347852,6,4,4
0,10.0,,([0  1  2  3  4  5  6  7  8]  [(6 0)  (2 1)  (2 3)  (7 4)  (8 5)]),1.1111111111111112,([0  1  2  3  4  5  6  7  8]  [(3 0)  (4 0)  (6 0)  (2 1)  (2 3)  (1 4)  (5 4)  (7 4)  (3 5)  (8 5)]),4,[6][2][7][8],([0  1  3  4  5]  [(3 0)  (4 0)  (1 4)  (5 4)  (3 5)]),1,2.0,[0][1 3][4][5],1.0,1000,16,1,0.9955771270654032,9,5,4
0,5.5,3.0,([0  1  2  3  4  5  6  7  8]  [(6 1)  (7 2)  (8 3)  (0 4)  (0 5)]),1.2222222222222223,([0  1  2  3  4  5  6  7  8]  [(5 1)  (6 1)  (1 2)  (5 2)  (7 2)  (1 3)  (8 3)  (0 4)  (1 4)  (5 4)  (0 5)]),4,[0][6][7][8],([1  2  3  4  5]  [(5 1)  (1 2)  (5 2)  (1 3)  (1 4)  (5 4)]),1,2.0,[4 5][1][2][3],1.2,2000,8,1,0.9933356092221384,9,5,5
0,4.0,4.0,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(9 0)  (10 1)  (7 2)  (3 4)  (11 5)  (3 6)  (12 8)]),1.2307692307692308,([0  1  2  3  4  5  6  7  8  9  10  11  12]  [(6 0)  (9 0)  (6 1)  (8 1)  (10 1)  (0 2)  (7 2)  (3 4)  (1 5)  (4 5)  (6 5)  (11 5)  (3 6)  (4 6)  (4 8)  (12 8)]),6,[9][10][7][3][11][12],([0  1  2  4  5  6  8]  [(6 0)  (6 1)  (8 1)  (0 2)  (1 5)  (4 5)  (6 5)  (4 6)  (4 8)]),1,3.0,[0][1][2][4 6][5][8],1.2857142857142858,1500,8,1,0.98798668609637,13,7,5
