,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
83,21,0,-1,1,2,1234,CCALPeps,5288.133,5198.136,0.6600959648060788,0.9398120387941208,0.060187961205879215,0.3399040351939212
84,21,0,-1,1,2,2468,CVE,1119.983,1114.523,1.0,1.0,0.0,0.0
85,21,0,-1,1,2,2468,CCVE,49610.773,48860.69,1.0,1.0,0.0,0.0
86,21,0,-1,1,2,2468,CCALPeps,4698.683,4619.288,0.9998000402260391,0.9998000402260391,0.00019995977396092268,0.00019995977396095732
87,21,0,-1,1,2,3702,CVE,1138.346,1133.388,0.24999999999999997,0.24999999999999997,0.7500000000000001,0.7500000000000001
88,21,0,-1,1,2,3702,CCVE,45854.572,45076.066,0.24999999999999994,0.24999999999999994,0.75,0.75
89,21,0,-1,1,2,3702,CCALPeps,3893.147,3805.346,0.25003001099650046,0.25005498350374955,0.7499450164962504,0.7499699890034995
90,23,0,-1,1,2,1234,CVE,4070.674,4064.986,0.77,0.77,0.23,0.23
91,23,0,-1,1,2,1234,CCVE,159855.437,159070.996,0.7699999999999999,0.7699999999999999,0.23,0.23
92,23,0,-1,1,2,1234,CCALPeps,5077.82,4995.092,0.7699530032998099,0.7699530032998102,0.2300469967001898,0.23004699670019013
93,23,0,-1,1,2,2468,CVE,4168.677,4164.104,0.18000000000000002,0.18000000000000002,0.8200000000000001,0.8200000000000001
94,23,0,-1,1,2,2468,CCVE,157253.639,156550.354,0.18000000000000005,0.18000000000000005,0.82,0.82
95,23,0,-1,1,2,2468,CCALPeps,4466.533,4384.394,0.18014596900473923,0.18014596900473942,0.8198540309952606,0.8198540309952608
96,23,0,-1,1,2,3702,CVE,4069.867,4065.118,0.03999999999999999,0.03999999999999999,0.96,0.96
97,23,0,-1,1,2,3702,CCVE,156042.221,155323.871,0.03999999999999999,0.03999999999999999,0.9600000000000001,0.9600000000000001
98,23,0,-1,1,2,3702,CCALPeps,4647.726,4567.101,0.04018596260561921,0.04018596260561929,0.9598140373943808,0.9598140373943808
99,25,0,-1,1,2,1234,CVE,15194.713,15189.579,0.019999999999999993,0.019999999999999993,0.98,0.98
100,25,0,-1,1,2,1234,CCVE,inf,inf,,,,
101,25,0,-1,1,2,1234,CCALPeps,inf,inf,,,,
102,25,0,-1,1,2,2468,CVE,inf,inf,,,,
103,25,0,-1,1,2,2468,CCVE,inf,inf,,,,
104,25,0,-1,1,2,2468,CCALPeps,inf,inf,,,,
105,25,0,-1,1,2,3702,CVE,inf,inf,,,,
106,25,0,-1,1,2,3702,CCVE,inf,inf,,,,
107,25,0,-1,1,2,3702,CCALPeps,inf,inf,,,,
108,27,0,-1,1,2,1234,CVE,inf,inf,,,,
109,27,0,-1,1,2,1234,CCVE,,,,,,
110,27,0,-1,1,2,1234,CCALPeps,,,,,,
111,27,0,-1,1,2,2468,CVE,,,,,,
112,27,0,-1,1,2,2468,CCVE,,,,,,
113,27,0,-1,1,2,2468,CCALPeps,,,,,,
114,27,0,-1,1,2,3702,CVE,,,,,,
115,27,0,-1,1,2,3702,CCVE,,,,,,
116,27,0,-1,1,2,3702,CCALPeps,,,,,,
117,29,0,-1,1,2,1234,CVE,,,,,,
118,29,0,-1,1,2,1234,CCVE,,,,,,
119,29,0,-1,1,2,1234,CCALPeps,,,,,,
120,29,0,-1,1,2,2468,CVE,,,,,,
121,29,0,-1,1,2,2468,CCVE,,,,,,
122,29,0,-1,1,2,2468,CCALPeps,,,,,,
123,29,0,-1,1,2,3702,CVE,,,,,,
124,29,0,-1,1,2,3702,CCVE,,,,,,
125,29,0,-1,1,2,3702,CCALPeps,,,,,,
