,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
50,19,0,-1,1,2,1234,CCALPeps,inf,inf,,,,
51,19,0,-1,1,2,2468,CVE,inf,inf,,,,
52,19,0,-1,1,2,2468,CCVE,,,,,,
53,19,0,-1,1,2,2468,CCALPeps,,,,,,
54,21,0,-1,1,2,1234,CVE,,,,,,
55,21,0,-1,1,2,1234,CCVE,,,,,,
56,21,0,-1,1,2,1234,CCALPeps,,,,,,
57,21,0,-1,1,2,2468,CVE,,,,,,
58,21,0,-1,1,2,2468,CCVE,,,,,,
59,21,0,-1,1,2,2468,CCALPeps,,,,,,
60,23,0,-1,1,2,1234,CVE,,,,,,
61,23,0,-1,1,2,1234,CCVE,,,,,,
62,23,0,-1,1,2,1234,CCALPeps,,,,,,
63,23,0,-1,1,2,2468,CVE,,,,,,
64,23,0,-1,1,2,2468,CCVE,,,,,,
65,23,0,-1,1,2,2468,CCALPeps,,,,,,
66,25,0,-1,1,2,1234,CVE,,,,,,
67,25,0,-1,1,2,1234,CCVE,,,,,,
68,25,0,-1,1,2,1234,CCALPeps,,,,,,
69,25,0,-1,1,2,2468,CVE,,,,,,
70,25,0,-1,1,2,2468,CCVE,,,,,,
71,25,0,-1,1,2,2468,CCALPeps,,,,,,
72,27,0,-1,1,2,1234,CVE,,,,,,
73,27,0,-1,1,2,1234,CCVE,,,,,,
74,27,0,-1,1,2,1234,CCALPeps,,,,,,
75,27,0,-1,1,2,2468,CVE,,,,,,
76,27,0,-1,1,2,2468,CCVE,,,,,,
77,27,0,-1,1,2,2468,CCALPeps,,,,,,
78,29,0,-1,1,2,1234,CVE,,,,,,
79,29,0,-1,1,2,1234,CCVE,,,,,,
80,29,0,-1,1,2,1234,CCALPeps,,,,,,
81,29,0,-1,1,2,2468,CVE,,,,,,
82,29,0,-1,1,2,2468,CCVE,,,,,,
83,29,0,-1,1,2,2468,CCALPeps,,,,,,
