lowerP,outcome',Feature2',Feature3,upperP,Feature2,Feature3',Feature1,Feature1',outcome
0.003335334888219395,1,1,0,0.9998397511130891,1,0,0,1,0
0.005109307915532265,0,1,0,0.9996888004559555,1,0,0,1,1
1.7781150123503538E-7,1,0,0,0.9987673655535809,1,1,0,0,0
2.2346399282903465E-7,0,0,0,0.9999963435114775,1,1,0,0,1
1.9475978693471155E-7,1,0,0,0.999840323714582,1,1,0,1,0
4.5676034238167375E-4,0,0,0,0.9999972904647533,1,1,0,1,1
3.1610557446890398E-6,1,1,0,0.9999817896347635,1,1,0,0,0
2.7835159165765675E-6,0,1,0,0.9999865187113279,1,1,0,0,1
2.3455309591673073E-7,1,1,0,0.9999985409993457,1,1,0,1,0
0.0016427129965142805,0,1,0,0.9997057562097899,1,1,0,1,1
2.119723419393836E-6,1,0,0,0.9998916645109067,1,0,1,0,0
3.506980576133894E-4,0,0,0,0.9999960373470159,1,0,1,0,1
2.179013224080164E-4,1,0,0,0.999974952096739,1,0,1,1,0
4.0203679515464724E-4,0,0,0,0.9999996500581012,1,0,1,1,1
0.005196730402929332,1,1,0,0.999841112225562,1,0,1,0,0
0.0033401457148035593,0,1,0,0.9996853758461124,1,0,1,0,1
1.4722634707883297E-7,1,0,0,0.9999961964804545,1,1,1,0,0
3.237407414366592E-5,0,0,0,0.9999538448738506,1,1,1,0,1
6.039534700974335E-6,1,0,0,0.9999931917926935,1,1,1,1,0
3.8929954313343364E-4,0,0,0,0.9999999921721295,1,1,1,1,1
5.975335628656624E-7,1,1,0,0.9999990067577569,1,1,1,0,0
0.00194876783925949,0,1,0,0.9989448053183734,1,1,1,0,1
7.488543484699784E-6,1,1,0,0.9999895277172475,1,1,1,1,0
1.5833409155490802E-4,0,1,0,0.9999869368601313,1,1,1,1,1
2.9033655033864735E-4,1,0,1,0.9999966661451374,0,0,0,0,0
0.0017653865612149882,0,0,1,0.9999998286478398,0,0,0,0,1
5.4180840125193995E-5,1,0,1,0.9999784448544886,0,0,0,1,0
1.0538743519714407E-5,0,0,1,0.9880358507038774,0,0,0,1,1
4.323929224517028E-5,1,1,1,0.9985330232523315,0,0,0,0,0
3.014768280252681E-7,0,1,1,0.9999945016090286,0,0,0,0,1
1.4180535891503783E-4,1,1,1,0.99999617601984,0,0,0,1,0
1.8344656554627906E-6,0,1,1,0.999921660481965,0,0,0,1,1
2.5163121703494313E-7,1,0,1,0.9991472829899419,0,1,0,1,0
6.628623647012187E-5,0,0,1,0.9997517397278415,0,1,0,1,1
3.790306967425068E-4,1,1,1,0.9991445705249844,0,1,0,0,0
3.0271916756317304E-7,0,1,1,0.9999121293735475,0,1,0,0,1
4.927989218863536E-4,1,1,1,0.9999835787042599,0,1,0,1,0
2.8100319607369404E-5,0,1,1,0.9999908856935505,0,1,0,1,1
3.977620226005111E-4,1,0,1,0.9962550769208991,0,0,1,0,0
3.2097230593802677E-6,0,0,1,0.9999995401808792,0,0,1,0,1
0.0028295762608159364,1,0,1,0.9999609923948591,0,0,1,1,0
9.719355638784402E-6,0,0,1,0.9999806791611132,0,0,1,1,1
5.425486305505022E-4,1,1,1,0.9998234448880474,0,0,1,0,0
3.6271238903587124E-7,0,1,1,0.9999971718860623,0,0,1,0,1
3.832143888347449E-4,1,1,1,0.9999927713114863,0,0,1,1,0
1.3858950523062127E-5,0,1,1,0.9999999920713923,0,0,1,1,1
2.7585415547367676E-5,1,0,1,0.9978946322723531,0,1,1,0,0
3.4783925247431236E-7,0,0,1,0.9999159444448382,0,1,1,0,1
7.539554960665033E-7,1,1,1,0.9974831463586786,0,1,1,0,0
0.002816069367625341,0,1,1,0.9999995744495775,0,1,1,0,1
4.927368542567822E-4,1,1,1,0.999979558960475,0,1,1,1,0
3.271854865054982E-7,0,1,1,0.9999630061098815,0,1,1,1,1
3.008789279917037E-5,1,0,1,0.9970879476885194,1,0,0,0,0
0.006227697908713691,0,0,1,0.9999399820198437,1,0,0,0,1
0.004027744517818341,1,0,1,0.9999055105379868,1,0,0,1,0
7.113901607566341E-5,0,0,1,0.9988643000577515,1,0,0,1,1
2.8665110398476266E-6,1,1,1,0.9999818700319438,1,0,0,0,0
3.1591778250677255E-6,0,1,1,0.9999860548910044,1,0,0,0,1
0.0019882981443420495,1,1,1,0.9999977465872908,1,0,0,1,0
6.609698114987361E-7,0,1,1,0.9926873484640637,1,0,0,1,1
3.2396452315026777E-7,1,0,1,0.9992789204109941,1,1,0,0,0
3.770953232772939E-4,0,0,1,0.9999888301641865,1,1,0,0,1
0.0011553631833272817,1,0,1,0.9952399782356356,1,1,0,1,0
7.826972342881195E-7,0,0,1,0.9999997719654021,1,1,0,1,1
0.0010608282067786153,1,1,1,0.9999407567611039,1,1,0,1,0
0.002311871684663943,0,1,1,0.9999291579305921,1,1,0,1,1
6.371106271219708E-4,1,0,1,0.9995498269638768,1,0,1,0,0
5.000526290840396E-4,0,0,1,0.9999614677569726,1,0,1,0,1
0.004580587633865635,1,0,1,0.9997824131861345,1,0,1,1,0
5.7412160009403E-6,0,0,1,0.9981066359889226,1,0,1,1,1
0.0016592464784599104,1,1,1,0.9999981374793183,1,0,1,0,0
3.6326158850828374E-6,0,1,1,0.9997043105971908,1,0,1,0,1
1.5680121433010516E-4,1,1,1,0.9989884963418271,1,0,1,1,0
8.354097856592294E-6,0,1,1,0.9999843517199809,1,0,1,1,1
3.082799911112844E-4,1,0,1,0.9991924706375569,1,1,1,0,0
0.002279858345907126,0,0,1,0.9999890141200493,1,1,1,0,1
3.7703412950329674E-7,1,0,1,0.9996837652900104,1,1,1,1,0
0.0019748282257363273,0,0,1,0.9999308143703765,1,1,1,1,1
3.768250758840921E-4,1,1,1,0.9999911653810115,1,1,1,0,0
5.578538404369465E-4,0,1,1,0.9999305924463463,1,1,1,0,1
