	Feature1	Feature2	Feature3	outcome
182	0	1	0	0.0
183	1	1	0	1.0
184	1	1	0	1.0
185	0	1	0	0.0
186	1	1	0	1.0
187	0	1	0	1.0
188	0	1	0	1.0
189	1	0	0	1.0
190	1	1	0	1.0
191	1	1	0	0.0
192	0	1	0	1.0
193	0	1	0	1.0
194	1	1	0	0.0
195	1	1	0	0.0
196	1	1	0	0.0
197	1	1	0	0.0
198	0	1	0	0.0
199	1	1	0	1.0
200	1	1	0	1.0
201	1	1	0	0.0
202	0	1	0	1.0
203	1	1	0	1.0
204	0	1	0	0.0
205	1	1	0	0.0
206	1	1	0	0.0
207	1	1	0	1.0
208	1	1	0	0.0
209	1	1	0	0.0
210	1	1	0	0.0
211	1	1	0	0.0
212	0	1	0	1.0
213	0	1	0	1.0
214	0	1	0	1.0
215	0	1	0	1.0
216	1	1	0	1.0
217	1	1	0	1.0
218	1	1	0	1.0
219	1	1	0	0.0
220	1	1	0	1.0
221	1	1	0	0.0
222	0	1	0	0.0
223	1	1	0	1.0
224	1	1	0	0.0
225	0	1	0	1.0
226	0	1	0	1.0
227	0	1	0	0.0
228	1	1	0	0.0
229	1	1	0	0.0
230	0	1	0	0.0
231	0	1	0	1.0
232	1	1	0	0.0
233	1	1	0	1.0
234	1	1	0	0.0
235	1	1	0	0.0
236	1	1	0	1.0
237	0	1	0	0.0
238	1	0	0	1.0
239	1	1	0	0.0
240	1	1	0	0.0
241	1	0	0	0.0
242	1	1	0	1.0
243	1	1	0	1.0
244	1	1	0	1.0
245	1	1	0	1.0
246	1	1	0	0.0
247	1	1	0	0.0
248	0	1	0	0.0
249	0	1	0	0.0
250	0	1	0	0.0
251	0	1	0	1.0
252	0	1	0	0.0
253	0	1	0	1.0
254	0	1	0	0.0
255	0	1	0	1.0
256	0	1	0	1.0
257	1	1	0	1.0
258	1	1	0	0.0
259	1	1	0	0.0
260	1	1	0	0.0
261	1	1	0	1.0
262	1	1	0	1.0
263	1	1	0	0.0
264	0	1	0	0.0
265	0	1	0	1.0
266	0	1	0	1.0
267	0	1	0	0.0
268	1	1	0	1.0
269	1	1	0	0.0
270	0	1	0	1.0
271	0	1	0	1.0
272	1	1	0	0.0
273	1	1	0	1.0
274	1	1	0	0.0
275	1	1	0	0.0
276	1	0	1	0.0
277	1	0	0	1.0
278	1	1	0	0.0
279	1	1	0	1.0
280	1	1	0	1.0
281	1	1	0	1.0
282	0	1	0	1.0
283	1	1	0	0.0
284	1	1	0	0.0
285	1	1	0	0.0
286	1	1	0	1.0
287	1	1	0	0.0
288	1	1	0	1.0
289	0	1	0	0.0
290	0	1	0	1.0
291	0	1	0	1.0
292	0	1	0	1.0
293	1	1	0	0.0
294	1	1	0	1.0
295	1	1	0	1.0
296	1	1	0	1.0
297	1	0	0	0.0
298	1	1	0	0.0
299	0	1	0	0.0
300	1	1	0	0.0
301	1	1	0	0.0
302	1	1	0	1.0
303	1	1	0	1.0
304	1	1	0	0.0
305	0	1	0	0.0
306	1	1	0	1.0
307	0	1	0	1.0
308	0	1	0	1.0
309	0	1	0	1.0
310	0	1	0	0.0
311	1	1	0	1.0
312	0	1	0	1.0
313	0	1	0	1.0
314	0	1	0	1.0
315	0	1	0	0.0
316	0	1	0	1.0
317	0	1	0	0.0
318	1	1	0	1.0
319	1	1	0	1.0
320	0	1	0	0.0
321	1	1	0	1.0
322	1	1	0	1.0
323	1	1	0	1.0
324	1	0	0	0.0
325	1	1	0	0.0
326	1	1	0	0.0
327	1	0	0	0.0
328	1	1	0	1.0
329	1	1	0	0.0
330	1	1	0	0.0
331	1	1	0	1.0
332	0	1	0	0.0
333	1	1	0	1.0
334	1	1	0	1.0
335	1	1	0	1.0
336	1	1	0	0.0
337	1	1	0	0.0
338	1	1	0	0.0
339	1	1	0	1.0
340	0	1	0	1.0
341	1	1	0	1.0
342	0	1	0	0.0
343	0	1	0	1.0
344	0	1	0	1.0
345	0	1	0	1.0
346	0	1	0	0.0
347	0	1	0	0.0
348	0	1	0	1.0
349	0	1	0	0.0
350	0	1	0	1.0
351	0	1	0	0.0
352	0	1	0	1.0
353	0	1	0	1.0
354	0	1	0	0.0
355	0	1	0	0.0
356	0	1	0	0.0
357	0	1	0	1.0
358	0	1	0	0.0
359	0	1	0	1.0
360	0	1	0	0.0
361	0	1	0	0.0
362	0	1	0	0.0
363	0	1	0	1.0
364	0	1	0	0.0
365	0	1	0	1.0
366	0	1	0	0.0
367	0	1	0	1.0
368	0	1	0	1.0
369	0	1	0	1.0
370	0	1	0	1.0
371	0	1	0	0.0
372	0	1	0	0.0
373	1	1	0	1.0
374	1	1	0	0.0
375	1	1	0	1.0
376	1	1	0	0.0
377	0	1	0	0.0
378	0	1	0	1.0
379	0	1	0	0.0
380	0	1	0	0.0
381	1	1	0	0.0
382	1	1	0	1.0
383	1	1	0	0.0
384	0	1	0	0.0
385	0	1	0	0.0
386	1	1	0	1.0
387	1	1	0	0.0
388	1	1	0	1.0
389	1	0	0	0.0
390	0	1	0	1.0
391	1	1	0	1.0
392	1	1	0	1.0
393	1	1	0	1.0
394	1	1	0	1.0
395	1	1	0	0.0
396	1	1	0	1.0
397	1	1	0	0.0
398	1	1	0	0.0
399	0	1	0	1.0
400	1	0	0	0.0
401	0	1	0	0.0
402	1	1	0	0.0
403	1	1	0	1.0
404	1	1	0	0.0
405	1	1	0	1.0
406	1	1	0	1.0
407	1	1	0	1.0
408	1	0	0	0.0
409	0	1	0	1.0
410	0	1	0	1.0
411	1	1	0	1.0
412	0	1	0	1.0
413	1	1	0	1.0
414	1	1	0	1.0
415	1	1	0	0.0
416	1	1	0	1.0
417	1	1	0	0.0
418	1	1	0	0.0
419	1	1	0	0.0
420	1	1	0	1.0
421	1	1	0	1.0
422	1	1	0	0.0
423	1	1	0	1.0
424	1	1	0	0.0
425	1	1	0	1.0
426	0	1	0	0.0
427	1	0	0	0.0
428	1	1	0	1.0
429	0	1	0	0.0
430	0	1	0	1.0
431	0	1	0	0.0
432	0	1	0	1.0
433	1	1	0	0.0
434	1	1	0	0.0
435	0	1	0	1.0
436	0	1	0	0.0
437	1	1	0	0.0
438	1	1	0	1.0
439	0	1	0	1.0
440	1	1	0	1.0
441	1	1	0	1.0
442	1	1	0	0.0
443	0	1	0	1.0
444	0	1	0	1.0
445	1	1	0	0.0
446	0	1	0	0.0
447	0	1	0	0.0
448	1	1	0	0.0
449	0	1	0	1.0
450	1	1	0	0.0
451	1	1	0	0.0
452	1	1	0	0.0
453	1	1	0	0.0
454	0	1	0	1.0
455	1	1	0	1.0
456	1	1	0	0.0
457	1	1	0	0.0
458	0	1	0	0.0
459	1	1	0	1.0
460	0	1	0	1.0
461	1	1	0	1.0
462	1	1	0	0.0
463	0	1	0	0.0
464	1	1	0	1.0
465	1	1	0	0.0
466	1	1	0	0.0
467	1	1	0	1.0
468	1	1	0	0.0
469	1	1	0	1.0
470	1	1	0	1.0
471	1	1	0	1.0
472	1	1	0	1.0
473	1	1	0	1.0
474	1	1	0	1.0
475	1	1	0	0.0
476	0	1	0	1.0
477	0	1	0	0.0
478	1	1	0	0.0
479	1	0	0	1.0
480	1	1	0	0.0
481	1	1	0	1.0
482	0	1	0	1.0
483	0	1	0	1.0
484	0	1	0	0.0
485	1	1	0	1.0
486	0	1	0	0.0
487	0	1	0	1.0
488	0	1	0	1.0
489	0	1	0	1.0
490	0	1	0	1.0
491	0	1	0	0.0
492	0	1	0	0.0
493	0	1	0	1.0
494	1	1	0	0.0
495	1	1	0	0.0
496	1	1	0	1.0
497	0	1	0	1.0
498	0	1	0	1.0
499	0	1	0	0.0
500	0	1	0	1.0
501	0	1	0	0.0
502	0	1	0	1.0
503	0	1	0	1.0
504	0	1	0	1.0
505	1	1	0	0.0
506	1	1	0	1.0
507	1	1	0	1.0
508	1	1	0	0.0
509	1	1	0	0.0
510	1	0	0	0.0
511	1	1	0	1.0
512	1	1	0	0.0
513	1	1	0	1.0
514	1	1	0	1.0
515	0	1	0	1.0
516	1	1	0	0.0
517	1	1	0	1.0
518	1	1	0	0.0
519	1	1	0	0.0
520	1	1	0	1.0
521	1	0	0	1.0
522	0	1	0	1.0
523	0	1	0	1.0
524	0	1	0	0.0
525	1	1	0	1.0
526	1	1	0	0.0
527	1	1	0	0.0
528	0	1	0	1.0
529	1	1	0	1.0
530	0	1	0	1.0
531	1	1	0	1.0
532	0	1	0	1.0
533	1	1	0	1.0
534	0	1	0	0.0
535	1	1	0	0.0
536	1	1	0	0.0
537	0	1	0	1.0
538	1	1	0	1.0
539	1	1	0	1.0
540	0	1	0	0.0
541	1	1	0	0.0
542	1	1	0	1.0
543	1	1	0	0.0
544	1	1	0	0.0
545	1	1	0	0.0
546	1	1	0	1.0
547	1	1	0	0.0
548	1	1	0	1.0
549	1	1	0	0.0
550	1	1	0	0.0
551	1	1	0	0.0
552	1	1	0	0.0
553	0	1	0	0.0
554	1	1	0	1.0
555	1	1	0	0.0
556	1	1	0	0.0
557	1	1	0	0.0
558	1	1	0	0.0
559	1	1	0	1.0
560	1	1	0	0.0
561	0	1	0	0.0
562	0	1	0	0.0
563	0	1	0	1.0
564	0	1	0	0.0
565	0	1	0	1.0
566	0	1	0	1.0
567	0	1	0	0.0
568	1	1	0	0.0
569	0	1	0	0.0
570	1	1	0	0.0
571	0	1	0	1.0
572	1	1	0	0.0
573	0	1	0	0.0
574	0	1	0	1.0
575	0	1	0	0.0
576	0	1	0	0.0
577	0	1	0	1.0
578	0	1	0	1.0
579	0	1	0	0.0
580	0	1	0	0.0
581	0	1	0	1.0
582	0	1	0	0.0
583	0	1	0	0.0
584	0	1	0	0.0
585	0	1	0	0.0
586	0	1	0	1.0
587	0	1	0	0.0
588	0	1	0	0.0
589	0	1	0	1.0
590	0	1	0	1.0
591	0	1	0	1.0
592	0	1	0	0.0
593	0	1	0	1.0
594	0	1	0	0.0
595	0	1	0	1.0
596	0	1	0	0.0
597	0	1	0	0.0
598	0	1	0	0.0
599	0	1	0	1.0
600	0	1	0	0.0
601	1	1	0	0.0
602	0	1	0	1.0
603	0	1	0	0.0
604	0	1	0	0.0
605	1	1	0	0.0
606	0	1	0	0.0
607	0	1	0	0.0
608	0	1	0	1.0
609	0	1	0	0.0
610	0	1	0	0.0
611	0	1	0	0.0
612	0	1	0	0.0
613	0	1	0	1.0
614	0	1	0	0.0
615	0	1	0	1.0
616	0	1	0	0.0
617	0	1	0	1.0
618	0	1	0	1.0
619	0	1	0	1.0
620	0	1	0	1.0
621	0	1	0	0.0
622	0	1	0	0.0
623	0	1	0	0.0
624	0	1	0	1.0
625	0	1	0	1.0
626	0	1	0	0.0
627	0	1	0	1.0
628	0	1	0	1.0
629	0	1	0	1.0
630	0	1	0	1.0
631	0	1	0	1.0
632	0	1	0	1.0
633	0	1	0	1.0
634	0	1	0	0.0
635	0	1	0	0.0
636	0	1	0	1.0
637	0	1	0	1.0
638	0	1	0	0.0
639	0	1	0	1.0
640	0	1	0	0.0
641	0	1	0	0.0
642	0	1	0	1.0
643	0	1	0	1.0
644	0	1	0	1.0
645	0	1	0	0.0
646	0	1	0	0.0
647	0	1	0	1.0
648	0	1	0	0.0
649	0	1	0	0.0
650	0	1	0	1.0
651	0	1	0	1.0
652	0	1	0	0.0
653	0	1	0	0.0
654	0	1	0	1.0
655	0	1	0	0.0
656	0	1	0	1.0
657	0	1	0	1.0
658	0	1	0	0.0
659	0	1	0	0.0
660	0	1	0	0.0
661	0	1	0	0.0
662	0	1	0	1.0
663	0	1	0	0.0
664	0	1	0	0.0
665	0	1	0	0.0
666	1	1	0	1.0
667	0	1	0	1.0
668	0	1	0	0.0
669	0	1	0	0.0
670	0	1	0	0.0
671	0	1	0	1.0
672	0	1	0	1.0
673	1	1	0	0.0
674	0	1	0	1.0
675	0	1	0	1.0
676	0	1	0	1.0
677	0	1	0	1.0
678	0	1	0	1.0
679	0	1	0	0.0
680	1	1	0	1.0
681	0	1	0	0.0
682	0	1	0	1.0
683	0	1	0	1.0
684	0	1	0	0.0
685	0	1	0	1.0
686	0	1	0	1.0
687	0	1	0	1.0
688	0	1	0	1.0
689	0	1	0	1.0
690	0	1	0	0.0
691	0	1	0	0.0
692	0	1	0	0.0
693	0	1	0	1.0
694	0	1	0	1.0
695	0	1	0	1.0
696	0	1	0	1.0
697	0	1	0	0.0
698	0	1	0	0.0
699	0	1	0	1.0
700	0	1	0	0.0
701	0	1	0	1.0
702	0	1	0	1.0
703	0	1	0	0.0
704	0	1	0	0.0
705	1	1	0	1.0
706	0	1	0	0.0
707	0	1	0	1.0
708	1	1	0	0.0
709	0	1	0	1.0
710	0	1	0	1.0
711	0	1	0	1.0
712	0	1	0	1.0
713	0	1	0	0.0
714	0	1	0	0.0
715	1	1	0	1.0
716	0	1	0	1.0
717	0	1	0	0.0
718	0	1	0	1.0
719	0	1	0	0.0
720	0	1	0	0.0
721	0	1	0	1.0
722	0	1	0	0.0
723	0	1	0	0.0
724	0	1	0	0.0
725	0	1	0	0.0
726	0	1	0	0.0
727	0	1	0	1.0
728	1	1	0	0.0
729	0	1	0	1.0
730	0	1	0	0.0
731	0	1	0	1.0
732	0	1	0	1.0
733	0	1	0	1.0
734	0	1	0	1.0
735	0	1	0	1.0
736	0	1	0	1.0
737	0	1	0	1.0
738	0	1	0	1.0
739	0	1	0	0.0
740	0	1	0	0.0
741	0	1	0	1.0
742	0	1	0	0.0
743	0	1	0	1.0
744	1	1	0	0.0
745	0	1	0	0.0
746	0	1	0	1.0
747	1	1	0	0.0
748	0	1	0	0.0
749	0	1	0	1.0
750	0	1	0	0.0
751	0	1	0	0.0
752	0	1	0	1.0
753	0	1	0	0.0
754	0	1	0	0.0
755	0	1	0	0.0
756	1	1	0	0.0
757	0	1	0	0.0
758	0	1	0	0.0
759	0	1	0	1.0
760	0	1	0	1.0
761	0	1	0	1.0
762	0	1	0	0.0
763	0	1	0	0.0
764	0	1	0	1.0
765	0	1	0	1.0
766	0	1	0	1.0
767	0	1	0	1.0
768	0	1	0	0.0
769	0	1	0	1.0
770	0	1	0	0.0
771	0	1	0	0.0
772	0	1	0	0.0
773	0	1	0	0.0
774	0	1	0	0.0
775	0	1	0	0.0
776	0	1	0	1.0
777	0	1	0	0.0
778	0	1	0	1.0
779	0	1	0	0.0
780	0	1	0	1.0
781	0	1	0	1.0
782	0	1	0	1.0
783	1	1	0	0.0
784	0	1	0	0.0
785	1	1	0	1.0
786	0	1	0	0.0
787	0	1	0	1.0
788	0	1	0	1.0
789	0	1	0	0.0
790	0	1	0	1.0
791	0	1	0	1.0
792	0	1	0	0.0
793	0	1	0	0.0
794	0	1	0	0.0
795	0	1	0	0.0
796	0	1	0	0.0
797	0	1	0	1.0
798	0	1	0	1.0
799	0	1	0	1.0
800	0	1	0	0.0
801	0	1	0	1.0
802	0	1	0	1.0
803	0	1	0	1.0
804	0	1	0	1.0
805	1	1	0	1.0
806	0	1	0	0.0
807	0	1	0	0.0
808	0	1	0	0.0
809	0	1	0	1.0
810	0	1	0	0.0
811	0	1	0	0.0
812	0	1	0	0.0
813	0	1	0	1.0
814	1	1	0	0.0
815	0	1	0	1.0
816	0	1	0	1.0
817	0	1	0	0.0
818	0	1	0	0.0
819	0	1	0	1.0
820	0	1	0	1.0
821	0	1	0	0.0
822	0	1	0	0.0
823	0	1	0	0.0
824	0	1	0	1.0
825	0	1	0	1.0
826	0	1	0	0.0
827	0	1	0	1.0
828	0	1	0	1.0
829	0	1	0	1.0
830	0	1	0	1.0
831	0	1	0	0.0
832	0	1	0	1.0
833	0	1	0	0.0
834	0	1	0	0.0
835	0	1	0	0.0
836	0	1	0	1.0
837	0	1	0	0.0
838	0	1	0	1.0
839	0	1	0	1.0
840	0	1	0	0.0
841	0	1	0	0.0
842	0	1	0	0.0
843	0	1	0	0.0
844	0	1	0	1.0
845	0	1	0	1.0
846	0	1	0	0.0
847	0	1	0	0.0
848	0	1	0	0.0
849	0	1	0	0.0
850	1	0	0	0.0
851	0	1	0	1.0
852	0	1	0	1.0
853	0	1	0	1.0
854	0	1	0	0.0
855	0	1	0	0.0
856	0	1	0	0.0
857	0	1	0	1.0
858	0	1	0	1.0
859	0	1	0	1.0
860	0	1	0	0.0
861	0	1	0	1.0
862	0	1	0	1.0
863	0	1	0	0.0
864	0	1	0	1.0
865	0	1	0	1.0
866	0	1	0	0.0
867	0	1	0	1.0
868	0	1	0	1.0
869	1	1	0	0.0
870	0	1	0	0.0
871	0	1	0	0.0
872	0	1	0	1.0
873	0	1	0	0.0
874	0	1	0	1.0
875	1	1	0	1.0
876	0	1	0	0.0
877	0	1	0	0.0
878	0	1	0	0.0
879	0	1	0	1.0
880	1	1	0	1.0
881	0	1	0	1.0
882	0	1	0	1.0
883	0	1	0	0.0
884	0	1	0	1.0
885	0	1	0	1.0
886	0	1	0	0.0
887	0	1	0	0.0
888	0	1	0	1.0
889	0	1	0	0.0
890	0	1	0	0.0
891	0	1	0	0.0
892	0	1	0	1.0
893	0	1	0	1.0
894	0	1	0	1.0
895	0	1	0	1.0
896	1	1	0	1.0
897	1	1	0	1.0
898	0	1	0	1.0
899	0	1	0	1.0
900	0	1	0	1.0
901	0	1	0	0.0
902	0	1	0	0.0
903	0	1	0	1.0
904	0	1	0	0.0
905	0	1	0	0.0
906	0	1	0	0.0
907	0	1	0	1.0
908	0	1	0	1.0
909	0	1	0	1.0
910	0	1	0	1.0
911	0	1	0	1.0
912	0	1	0	1.0
913	0	1	0	0.0
914	0	1	0	0.0
915	0	1	0	1.0
916	0	1	0	1.0
917	0	1	0	0.0
918	0	1	0	1.0
919	0	1	0	0.0
920	0	1	0	1.0
921	1	1	0	1.0
922	0	1	0	1.0
923	0	1	0	0.0
924	0	1	0	1.0
925	0	1	0	1.0
926	0	1	0	0.0
927	0	1	0	1.0
928	0	1	0	1.0
929	0	1	0	0.0
930	0	1	0	0.0
931	0	1	0	1.0
932	0	1	0	0.0
933	0	1	0	1.0
934	0	1	0	0.0
935	0	1	0	1.0
936	0	1	0	1.0
937	0	1	0	1.0
938	0	1	0	1.0
939	0	1	0	0.0
940	0	1	0	0.0
941	0	1	0	1.0
942	0	1	0	1.0
943	1	1	0	1.0
944	0	1	0	0.0
945	0	1	0	0.0
946	0	1	0	1.0
947	0	1	0	0.0
948	0	1	0	0.0
949	0	1	0	0.0
950	0	1	0	1.0
951	0	1	0	1.0
952	0	1	0	1.0
953	0	1	0	0.0
954	0	1	0	1.0
955	0	1	0	1.0
956	0	1	0	1.0
957	0	1	0	1.0
958	0	1	0	1.0
959	1	1	0	0.0
960	0	1	0	1.0
961	0	1	0	0.0
962	0	1	0	0.0
963	0	1	0	1.0
964	0	1	0	1.0
965	0	1	0	0.0
966	0	1	0	0.0
967	0	1	0	0.0
968	0	1	0	1.0
969	0	1	0	0.0
970	0	1	0	1.0
971	0	1	0	0.0
972	0	1	0	0.0
973	0	1	0	1.0
974	0	1	0	0.0
975	0	1	0	1.0
976	0	1	0	1.0
977	0	1	0	1.0
978	1	1	0	1.0
979	0	1	0	1.0
980	0	1	0	0.0
981	0	1	0	1.0
982	0	1	0	0.0
983	0	1	0	0.0
984	0	0	0	0.0
985	0	1	0	1.0
986	0	1	0	0.0
987	0	1	0	1.0
988	0	1	0	0.0
989	0	1	0	1.0
990	0	1	0	0.0
991	0	1	0	0.0
992	0	1	0	1.0
993	0	1	0	0.0
994	0	1	0	1.0
995	0	1	0	1.0
996	0	1	0	0.0
997	0	1	0	0.0
998	0	1	0	0.0
999	0	1	0	1.0
1000	0	1	0	0.0
1001	0	1	0	1.0
1002	0	1	0	1.0
1003	0	1	0	0.0
1004	0	1	0	0.0
1005	0	1	0	0.0
1006	1	1	0	0.0
1007	0	1	0	0.0
1008	0	1	0	1.0
1009	0	1	0	0.0
1010	0	1	0	0.0
1011	0	1	0	0.0
1012	0	1	0	0.0
1013	0	1	0	0.0
1014	0	1	0	1.0
1015	0	1	0	0.0
1016	0	1	0	1.0
1017	0	1	0	1.0
1018	0	1	0	0.0
1019	0	1	0	0.0
1020	0	1	0	1.0
1021	0	1	0	1.0
1022	0	1	0	1.0
1023	0	1	0	0.0
1024	0	1	0	1.0
1025	0	1	0	1.0
1026	1	1	0	0.0
1027	0	1	0	0.0
1028	0	1	0	0.0
1029	0	1	0	0.0
1030	0	1	0	1.0
1031	0	1	0	1.0
1032	0	1	0	0.0
1033	0	1	0	1.0
1034	0	1	0	1.0
1035	0	1	0	0.0
1036	0	1	0	1.0
1037	0	1	0	0.0
1038	0	1	0	0.0
1039	0	1	0	0.0
1040	0	1	0	0.0
1041	0	1	0	1.0
1042	0	1	0	0.0
1043	0	1	0	1.0
1044	0	1	0	0.0
1045	0	1	0	0.0
1046	1	1	0	0.0
1047	0	1	0	0.0
1048	0	1	0	0.0
1049	0	1	0	1.0
1050	0	1	0	0.0
1051	1	1	0	0.0
1052	0	1	0	0.0
1053	0	1	0	1.0
1054	0	1	0	0.0
1055	0	1	0	0.0
1056	0	1	0	0.0
1057	0	1	0	1.0
1058	1	1	0	1.0
1059	0	1	0	0.0
1060	0	1	0	1.0
1061	0	1	0	1.0
1062	0	1	0	0.0
1063	0	1	0	0.0
1064	0	1	0	1.0
1065	0	1	0	1.0
1066	0	1	0	1.0
1067	0	1	0	0.0
1068	0	1	0	0.0
1069	0	1	0	1.0
1070	0	1	0	0.0
1071	0	1	0	0.0
1072	0	1	0	0.0
1073	0	1	0	1.0
1074	0	1	0	1.0
1075	0	1	0	1.0
1076	0	1	0	1.0
1077	0	1	0	0.0
1078	0	1	0	1.0
1079	0	1	0	0.0
1080	0	1	0	0.0
1081	0	1	0	1.0
1082	0	1	0	1.0
1083	0	1	0	0.0
1084	0	1	0	1.0
1085	0	1	0	0.0
1086	0	1	0	0.0
1087	0	1	0	0.0
1088	0	1	0	0.0
1089	0	1	0	1.0
1090	0	1	0	1.0
1091	0	1	0	0.0
1092	0	1	0	0.0
1093	0	1	0	1.0
1094	0	1	0	0.0
1095	1	1	0	1.0
1096	0	1	0	0.0
1097	0	1	0	0.0
1098	0	1	0	1.0
1099	0	1	0	0.0
1100	0	1	0	0.0
1101	0	1	0	0.0
1102	0	1	0	1.0
1103	0	1	0	1.0
1104	0	1	0	0.0
1105	0	1	0	0.0
1106	0	1	0	0.0
1107	0	1	0	0.0
1108	0	1	0	0.0
1109	0	1	0	0.0
1110	1	1	0	1.0
1111	0	1	0	1.0
1112	0	1	0	0.0
1113	0	1	0	0.0
1114	0	1	0	0.0
1115	0	1	0	0.0
1116	0	1	0	1.0
1117	0	1	0	1.0
1118	0	1	0	1.0
1119	0	1	0	0.0
1120	0	1	0	1.0
1121	0	1	0	0.0
1122	0	1	0	1.0
1123	0	1	0	0.0
1124	0	1	0	0.0
1125	0	1	0	0.0
1126	0	1	0	0.0
1127	0	1	0	1.0
1128	0	1	0	1.0
1129	1	1	0	1.0
1130	0	1	0	0.0
1131	0	1	0	0.0
1132	0	1	0	0.0
1133	0	1	0	0.0
1134	0	1	0	1.0
1135	0	1	0	1.0
1136	0	1	0	0.0
1137	0	1	0	1.0
1138	0	1	0	0.0
1139	0	1	0	0.0
1140	0	1	0	0.0
1141	0	1	0	1.0
1142	0	1	0	0.0
1143	0	1	0	1.0
1144	0	1	0	1.0
1145	0	1	0	1.0
